usuario_id,restaurante_id,puntuacion,fecha,comentario
1,1,5,2026-05-28,Excelente restaurante y gran trabajo del chef.
80,175,4,2025-04-30,Excelente servicio y comida.
108,121,1,2026-06-12,Excelente servicio y comida.
454,63,5,2025-10-16,La experiencia fue aceptable.
89,117,3,2025-02-15,La atención fue rápida.
168,5,1,2025-09-16,Los platillos estuvieron bien preparados.
500,104,3,2025-03-19,La experiencia fue aceptable.
329,29,4,2024-07-11,Los platillos estuvieron bien preparados.
436,117,4,2025-11-01,La comida estuvo deliciosa.
412,108,5,2025-12-25,Buena relación entre precio y calidad.
235,171,4,2026-02-15,Muy buena experiencia.
412,57,2,2025-01-02,Muy buena experiencia.
373,104,1,2026-03-31,Muy buena experiencia.
92,97,1,2025-06-21,El servicio puede mejorar.
102,99,2,2024-10-10,Excelente servicio y comida.
438,14,2,2025-08-11,Los platillos estuvieron bien preparados.
426,6,2,2025-11-19,Muy buena experiencia.
470,175,4,2024-07-11,Buena relación entre precio y calidad.
104,20,5,2026-04-22,Muy buena experiencia.
135,194,5,2025-06-28,Muy buena experiencia.
88,114,4,2025-06-06,El servicio puede mejorar.
42,6,1,2025-01-01,La experiencia fue aceptable.
29,121,4,2026-03-24,El ambiente fue agradable.
123,5,4,2026-02-02,El ambiente fue agradable.
206,158,4,2024-09-24,La experiencia fue aceptable.
240,186,2,2026-06-05,Regresaría nuevamente.
242,61,4,2025-08-03,Excelente servicio y comida.
208,90,5,2024-08-23,Los platillos estuvieron bien preparados.
12,83,3,2025-11-06,Regresaría nuevamente.
228,50,2,2025-10-09,El servicio puede mejorar.
54,193,5,2026-04-21,Buena relación entre precio y calidad.
88,33,2,2026-04-04,La atención fue rápida.
11,105,3,2025-03-11,La atención fue rápida.
276,18,5,2026-01-15,Muy buena experiencia.
214,28,2,2026-06-12,Muy buena experiencia.
42,108,2,2025-01-18,La atención fue rápida.
302,1,4,2025-03-26,La atención fue rápida.
447,57,5,2025-02-05,Buena relación entre precio y calidad.
417,157,5,2025-01-28,Los platillos estuvieron bien preparados.
64,65,1,2026-05-24,La comida estuvo deliciosa.
226,199,4,2025-03-07,Muy buena experiencia.
