usuario_id,restaurante_id,fecha_visita,consumo,con_reserva
1,1,2026-05-23,380.0,true
1,1,2026-03-24,295.5,false
1,1,2025-12-24,425.75,true
120,96,2025-05-26,575.07,true
132,18,2026-05-24,285.57,true
262,166,2025-06-01,174.56,false
306,157,2026-04-09,545.14,true
183,101,2026-02-07,257.22,true
66,88,2024-12-27,392.55,true
164,138,2025-05-26,160.11,false
293,139,2024-12-23,107.27,false
107,12,2025-05-08,391.22,false
189,107,2026-02-01,263.11,true
158,194,2025-05-25,627.86,true
137,1,2025-03-01,456.81,true
400,10,2024-12-02,97.55,false
420,81,2025-04-16,140.49,false
145,28,2024-11-28,422.57,false
82,51,2025-06-07,359.57,false
77,131,2026-01-18,353.33,true
200,29,2024-07-20,599.56,false
456,32,2025-10-17,336.53,false
211,128,2026-01-12,205.57,false
109,139,2025-12-04,442.07,false
239,62,2025-02-17,130.12,true
211,22,2024-11-28,265.86,false
373,190,2025-03-27,71.45,true
218,130,2025-03-04,551.05,false
51,151,2025-05-24,538.24,false
17,188,2025-01-21,254.81,true
489,179,2024-12-22,71.27,true
178,115,2025-04-12,49.43,true
67,9,2024-12-08,318.83,true
50,22,2026-04-17,186.35,true
302,7,2025-06-13,418.7,false
217,56,2026-02-04,409.84,true
256,90,2024-06-30,60.59,false
432,98,2024-07-05,272.81,false
22,1,2025-03-22,155.76,true
255,73,2024-06-30,74.72,false
323,64,2026-06-19,505.62,false
103,53,2024-10-04,604.53,true
11,142,2025-06-18,113.19,false
388,37,2025-05-07,490.28,false
187,190,2025-07-14,122.46,false
111,57,2025-04-16,168.97,false
375,160,2026-04-30,418.87,false
276,125,2025-03-10,469.62,true
60,108,2025-10-20,317.61,true
217,136,2024-06-30,295.6,true
410,32,2024-11-01,521.77,false
66,189,2024-11-25,250.97,false
117,152,2024-07-14,384.41,false
368,13,2025-06-09,623.43,true
125,14,2025-09-13,501.09,false
255,22,2024-07-02,192.23,true
250,81,2025-08-17,381.33,true
444,198,2025-11-23,255.56,true
389,8,2024-10-13,114.45,false
465,191,2025-09-30,73.4,false
391,169,2025-10-13,443.97,true
477,132,2025-12-31,134.62,false
180,129,2025-11-07,415.96,false
223,169,2025-10-06,230.35,false
277,174,2025-07-27,514.75,true
19,45,2024-12-12,552.54,true
258,107,2026-01-18,241.62,true
441,108,2024-11-26,549.6,false
316,124,2024-07-29,195.34,true
469,50,2026-03-18,115.53,false
147,33,2026-04-21,539.94,true
371,196,2025-11-21,495.61,true
426,52,2024-11-02,197.76,true
407,72,2026-01-16,362.11,true
281,136,2025-09-25,170.73,true
334,148,2026-02-19,107.25,false
289,150,2025-07-19,565.97,false
259,38,2025-01-24,129.55,true
28,183,2025-01-31,366.31,true
377,29,2025-01-03,460.49,false
160,156,2026-03-26,209.67,true
375,124,2024-08-31,616.12,true
486,154,2024-11-16,230.39,true
448,68,2024-09-18,127.52,true
437,77,2025-12-01,198.7,true
290,64,2024-09-12,494.29,false
378,184,2026-02-16,263.37,true
313,158,2025-01-01,374.95,true
449,103,2026-01-23,590.66,false
241,200,2024-07-15,139.9,true
60,175,2025-01-24,403.41,false
322,57,2025-03-14,327.57,false
204,72,2024-07-11,592.19,true
394,140,2026-01-20,104.3,false
294,7,2026-01-06,640.1,true
124,185,2026-04-21,62.67,true
68,98,2025-12-10,313.72,false
312,2,2024-10-11,139.88,false
12,169,2026-04-16,94.49,true
389,6,2026-02-18,640.78,true
106,73,2026-01-13,184.74,true
260,40,2026-05-16,356.85,false
53,74,2026-04-02,197.11,true
10,51,2026-04-06,44.84,false
281,87,2024-09-04,605.97,true
2,10,2025-08-02,385.34,true
392,111,2025-03-05,216.72,false
453,143,2024-12-19,170.37,true
351,167,2026-05-04,632.41,true
240,8,2025-01-03,119.86,false
53,3,2025-11-17,303.14,true
390,12,2026-02-05,400.62,false
258,8,2026-01-13,115.48,true
88,68,2025-03-02,68.37,true
14,4,2024-08-20,380.86,true
470,199,2024-09-05,589.0,true
89,51,2026-01-03,187.41,true
57,114,2025-11-20,553.3,false
101,50,2025-02-16,200.24,false
147,118,2025-06-27,141.04,true
400,200,2024-12-18,159.24,false
33,129,2025-11-17,80.2,true
384,196,2024-08-01,440.47,true
259,74,2025-08-29,269.55,true
205,196,2024-07-24,609.41,true
287,54,2025-07-24,350.88,true
192,29,2024-12-21,255.82,false
329,134,2025-03-22,507.37,false
454,90,2024-12-14,255.22,true
165,131,2024-11-29,199.01,true
297,71,2024-07-09,215.19,true
409,60,2024-06-30,202.32,true
287,178,2026-02-21,248.02,false
319,171,2026-02-18,410.67,true
497,63,2026-02-02,545.32,true
446,27,2024-07-01,240.65,true
417,35,2025-10-14,40.29,false
43,177,2025-01-24,498.42,false
332,69,2024-12-19,351.26,true
41,10,2025-05-24,133.74,true
281,125,2025-05-07,441.73,false
291,80,2024-11-08,318.74,true
151,194,2024-09-03,547.59,true
10,128,2026-02-09,146.51,false
206,122,2026-02-25,341.79,true
237,181,2024-07-31,375.09,false
135,71,2024-08-25,442.23,true
292,197,2024-09-14,173.45,false
469,199,2025-06-28,427.21,false
469,175,2026-04-02,61.11,true
110,17,2024-12-07,145.69,false
494,120,2025-12-10,384.64,true
309,89,2025-03-12,355.43,true
100,137,2025-11-09,43.65,true
103,105,2026-05-23,161.14,false
352,176,2025-01-20,342.39,true
372,197,2025-04-05,38.75,true
262,86,2024-10-27,285.48,false
427,34,2025-11-01,306.31,true
373,71,2026-02-03,160.21,true
240,195,2025-05-18,220.0,true
464,168,2026-03-08,286.09,true
393,23,2025-12-15,222.86,true
262,42,2024-12-04,462.41,true
288,113,2025-05-31,510.99,false
489,89,2025-02-19,84.3,false
420,191,2024-09-29,634.29,true
82,190,2026-02-25,98.04,true
61,44,2024-12-25,556.06,false
177,76,2025-11-03,319.28,true
31,106,2025-12-31,448.61,true
405,31,2026-03-12,258.12,false
268,57,2024-09-21,534.94,false
107,27,2026-06-21,466.62,true
479,148,2025-07-01,356.7,false
168,58,2024-07-09,410.58,true
24,90,2026-02-21,436.83,true
433,132,2025-12-04,247.82,true
186,194,2025-05-17,578.93,true
476,191,2025-01-05,199.44,false
402,117,2025-11-23,500.66,false
134,85,2025-03-05,594.87,true
497,23,2025-01-02,496.69,false
371,36,2026-04-02,406.23,false
130,182,2026-01-13,467.4,true
350,86,2025-02-07,516.18,true
242,56,2025-06-08,380.1,false
37,105,2025-09-02,423.25,false
405,155,2025-05-08,366.95,true
64,15,2024-12-27,616.58,false
180,81,2026-01-02,386.48,true
415,184,2025-09-04,351.96,true
100,5,2026-01-18,90.73,false
67,62,2025-06-05,35.96,true
64,6,2026-03-03,271.74,false
391,156,2024-11-11,113.21,true
168,191,2024-09-14,449.61,false
326,60,2025-11-26,209.81,true
178,10,2025-11-12,284.4,false
344,146,2025-05-25,633.66,true
469,2,2025-06-20,388.11,true
457,103,2026-02-01,619.4,true
474,35,2026-03-24,399.34,false
75,93,2025-08-08,504.11,false
23,199,2024-12-27,414.1,false
415,67,2025-10-07,216.54,true
321,183,2025-11-03,267.26,true
301,106,2025-12-17,182.08,false
261,162,2024-06-27,464.28,true
139,164,2024-12-20,91.92,true
456,181,2026-03-23,305.71,false
200,75,2026-04-05,176.55,false
139,76,2024-12-22,505.42,false
430,141,2026-01-01,381.37,false
144,27,2025-06-26,431.78,false
436,162,2026-02-01,522.84,false
402,31,2025-03-22,571.49,false
261,148,2026-03-17,87.96,false
406,88,2025-07-15,203.28,false
270,119,2025-02-16,392.67,true
69,58,2026-03-15,42.69,false
282,176,2025-12-03,243.3,true
60,42,2024-06-22,341.7,true
395,141,2026-03-19,549.91,true
277,122,2025-04-29,343.75,true
487,98,2024-08-03,598.83,false
329,129,2025-12-18,591.01,true
353,142,2026-02-16,625.63,false
373,183,2024-07-27,44.92,true
235,72,2024-08-12,129.8,false
61,170,2026-01-23,107.53,true
347,28,2025-08-07,463.64,false
354,27,2024-06-26,359.44,false
186,61,2024-12-30,299.13,false
193,75,2025-04-13,73.47,true
324,9,2025-09-18,628.56,false
165,150,2026-01-12,625.43,false
367,129,2024-07-23,311.45,true
491,121,2024-12-25,433.54,false
462,144,2025-07-11,181.86,true
130,134,2025-07-08,157.5,false
368,128,2024-08-04,63.24,false
68,49,2025-07-28,525.22,false
469,56,2026-05-31,610.73,false
162,5,2025-05-24,534.95,true
215,99,2024-10-04,246.46,true
270,120,2025-08-24,201.55,true
129,157,2025-02-21,297.4,true
386,17,2026-06-02,580.29,true
269,153,2024-08-03,287.7,false
21,60,2025-06-19,301.18,false
35,55,2024-07-05,482.04,true
167,5,2025-03-27,316.84,true
42,161,2026-05-23,269.36,false
21,153,2025-08-27,456.87,false
16,174,2025-02-20,335.94,false
23,71,2026-04-07,501.33,true
491,49,2025-01-30,358.55,true
46,133,2024-06-24,169.76,false
322,66,2026-04-07,149.24,false
199,110,2025-05-10,60.61,true
272,147,2024-09-07,596.11,true
259,189,2026-04-15,496.85,false
455,70,2025-08-14,180.47,true
494,5,2024-10-29,89.28,true
108,4,2025-10-17,384.77,true
241,85,2024-11-04,317.3,true
336,142,2025-12-23,191.61,true
358,15,2025-01-17,149.69,false
39,78,2025-03-27,161.64,true
239,180,2024-09-26,443.02,true
307,117,2024-11-20,566.32,false
437,184,2026-02-04,296.51,true
318,193,2025-10-29,412.5,false
451,53,2025-02-08,358.68,true
44,194,2025-12-03,178.03,false
124,186,2026-06-05,455.25,true
302,140,2025-11-14,249.77,false
35,58,2025-04-13,494.04,true
226,127,2025-01-14,36.33,true
185,107,2025-03-31,448.02,true
178,152,2024-09-01,423.16,false
312,120,2026-01-16,299.08,true
50,3,2024-11-21,603.54,false
206,193,2025-05-16,517.82,true
254,82,2025-07-06,289.3,false
109,92,2026-04-07,49.87,true
238,156,2024-07-26,579.04,false
497,122,2025-11-17,93.13,true
25,139,2025-11-22,88.37,true
155,71,2026-04-09,325.11,true
230,81,2025-10-12,80.19,true
120,134,2024-11-26,356.36,false
314,93,2025-03-27,495.21,true
67,14,2025-04-15,533.33,true
493,96,2025-02-19,223.13,false
432,144,2025-06-01,155.92,false
57,101,2024-07-07,595.63,false
179,136,2025-07-22,144.39,true
467,42,2026-04-08,202.85,true
172,15,2024-12-07,188.04,true
225,173,2025-06-03,366.96,true
267,31,2026-02-24,471.36,false
233,71,2026-06-17,552.82,true
266,118,2026-04-08,475.23,false
226,169,2025-07-02,298.52,true
109,84,2024-09-29,492.61,false
171,150,2025-02-01,560.32,false
68,195,2024-06-26,149.4,false
122,46,2024-12-11,541.59,false
145,55,2025-07-17,287.47,false
274,154,2024-12-08,109.36,true
342,20,2025-06-18,88.51,true
228,3,2025-11-09,133.14,false
78,195,2025-06-12,620.68,false
276,110,2025-10-27,183.29,true
314,9,2026-02-07,224.94,false
114,138,2024-07-16,430.46,true
321,90,2025-03-17,539.66,true
37,74,2025-01-15,638.99,true
338,54,2024-08-11,379.59,true
16,33,2024-07-10,285.22,true
286,22,2025-11-16,468.46,true
106,100,2025-05-10,131.52,true
12,116,2026-01-07,218.43,false
226,36,2026-03-19,183.62,false
187,80,2025-04-15,641.47,false
7,118,2025-02-24,227.58,true
264,46,2025-06-29,189.44,true
225,154,2024-10-23,552.27,true
86,12,2025-09-08,179.14,true
363,2,2025-05-19,423.31,true
223,89,2024-07-27,468.17,true
195,114,2025-01-30,431.4,true
205,197,2025-06-04,468.22,true
213,16,2024-07-19,215.26,true
104,181,2026-02-11,315.2,true
124,158,2025-08-03,224.9,true
31,180,2024-10-05,302.38,true
475,140,2026-06-06,129.19,false
10,191,2025-01-28,421.74,true
494,29,2025-03-08,531.49,false
133,49,2025-10-31,50.99,false
64,54,2024-12-13,257.29,false
378,91,2026-03-02,545.46,false
114,119,2025-08-09,290.04,true
227,200,2025-04-26,124.49,true
465,97,2025-11-02,99.59,true
281,7,2026-04-05,297.83,true
251,185,2025-11-06,292.17,false
459,168,2026-05-09,284.21,false
222,72,2025-05-29,111.15,false
102,175,2024-10-22,542.74,false
442,36,2024-09-06,561.74,false
6,155,2024-07-16,503.5,true
242,169,2025-01-15,269.67,true
333,13,2026-02-18,140.74,true
496,64,2025-12-21,353.98,true
343,70,2024-09-04,173.75,true
433,128,2024-08-03,156.02,false
395,56,2024-12-14,185.79,false
346,167,2026-01-16,603.79,true
65,157,2025-04-13,649.25,false
487,20,2025-12-23,83.46,true
81,32,2026-04-18,391.47,true
239,23,2024-11-06,231.56,true
109,88,2026-01-15,599.66,false
8,78,2026-03-30,60.97,false
261,150,2026-05-06,552.78,true
294,159,2026-01-25,594.68,true
366,167,2025-06-26,256.88,true
49,87,2026-06-10,577.96,false
472,18,2025-05-21,239.75,false
300,181,2026-05-16,587.26,true
458,90,2026-01-26,628.41,false
134,166,2025-08-21,478.95,true
119,81,2025-02-07,106.15,true
24,157,2025-09-09,237.48,true
146,197,2025-04-09,242.94,false
159,82,2026-04-04,283.44,false
119,99,2026-04-20,280.53,false
325,50,2025-10-04,346.25,false
180,170,2024-12-21,456.25,true
146,144,2025-04-21,426.76,false
19,127,2026-02-05,395.42,true
336,105,2025-07-04,146.55,false
2,110,2025-05-01,624.32,true
489,135,2025-03-07,290.07,true
99,130,2025-12-06,47.97,false
57,183,2025-11-29,609.72,true
484,199,2025-08-13,302.34,true
42,186,2025-03-05,437.42,true
191,41,2025-09-23,142.5,false
316,8,2025-07-16,428.17,true
266,6,2025-01-09,362.11,true
326,59,2026-01-11,421.02,true
391,53,2024-11-04,492.18,false
479,149,2026-05-29,193.75,true
100,13,2025-05-06,191.54,true
265,13,2026-01-28,545.82,false
82,1,2026-03-02,516.73,true
310,109,2025-02-16,418.19,false
413,194,2025-10-09,94.35,true
77,62,2024-06-25,525.78,true
421,140,2026-01-11,575.56,true
471,6,2026-06-16,351.47,false
494,127,2024-11-23,569.59,true
82,188,2025-11-01,98.08,true
196,135,2025-03-29,356.77,false
336,38,2026-02-14,107.06,true
260,195,2025-05-14,156.83,false
71,149,2026-03-14,102.26,false
171,76,2025-06-20,452.6,true
194,192,2024-10-11,390.98,false
45,23,2026-05-19,188.59,false
156,48,2026-05-05,578.03,true
265,107,2025-08-01,642.42,true
256,84,2026-01-31,592.39,false
140,196,2024-12-13,576.22,true
477,95,2025-05-06,476.17,true
424,43,2024-10-29,468.32,true
153,85,2025-05-12,118.02,false
17,23,2024-07-14,113.88,false
463,5,2025-05-21,488.45,true
61,50,2025-09-05,366.88,true
452,50,2025-02-14,399.35,true
419,112,2024-11-26,521.67,true
149,37,2026-04-12,644.98,true
63,107,2024-10-16,633.37,true
74,25,2025-11-05,182.53,false
235,15,2024-11-23,552.82,false
85,62,2024-07-29,60.99,true
255,92,2025-11-30,415.54,false
34,80,2025-08-25,516.86,false
473,30,2025-04-19,630.37,true
72,81,2024-12-25,579.87,false
26,166,2025-09-01,360.63,false
484,182,2024-08-11,85.62,true
244,158,2026-05-19,627.75,false
279,147,2024-09-25,499.69,false
404,114,2024-09-30,613.45,true
165,154,2026-01-10,629.39,true
111,105,2025-01-11,503.5,false
422,147,2025-05-01,614.64,true
131,165,2026-03-21,263.45,false
170,103,2025-06-06,152.07,false
295,86,2025-10-28,518.97,true
68,155,2026-02-27,339.58,false
73,100,2024-12-09,108.89,true
107,73,2025-05-03,458.2,true
71,98,2025-10-18,644.15,true
261,9,2026-06-14,292.41,false
9,167,2024-07-15,172.41,true
438,111,2024-07-08,453.62,false
418,7,2026-04-14,170.99,true
415,192,2025-08-21,596.64,true
174,84,2025-08-27,158.14,true
182,130,2024-08-25,220.9,true
132,151,2026-04-16,282.58,true
405,158,2024-11-08,589.83,true
23,155,2026-05-27,554.64,false
468,132,2026-03-25,339.34,false
225,187,2025-01-09,253.97,true
264,162,2026-05-20,455.48,true
70,23,2024-11-30,435.86,false
193,84,2025-01-17,333.88,true
203,46,2025-04-26,137.05,true
42,57,2025-02-26,200.82,true
228,156,2025-04-27,373.39,true
98,2,2026-03-09,474.07,true
477,107,2025-02-28,235.04,false
181,109,2026-01-18,293.1,true
293,128,2025-05-30,40.88,true
108,48,2026-06-16,122.55,false
346,140,2024-12-07,406.12,true
87,134,2025-11-10,640.7,true
151,14,2024-07-20,276.35,false
10,132,2024-10-29,229.65,false
386,176,2025-12-24,172.49,true
353,149,2025-04-15,104.98,true
106,61,2024-07-20,549.89,false
417,53,2026-05-13,387.06,false
444,59,2024-08-12,564.63,false
357,197,2024-12-27,493.18,false
156,112,2025-04-29,162.93,false
143,163,2025-05-06,501.03,true
296,176,2026-02-20,375.46,false
42,77,2026-02-01,242.96,false
465,157,2025-11-28,84.92,false
142,78,2025-06-24,429.25,false
96,51,2024-09-06,168.43,true
48,166,2025-07-31,372.31,false
52,61,2026-05-11,239.71,false
439,50,2024-08-02,228.17,false
18,25,2025-09-19,418.49,true
176,89,2025-07-25,184.62,false
101,7,2025-03-25,601.54,true
189,177,2026-02-04,168.78,true
356,92,2025-08-08,509.79,false
487,72,2024-07-01,503.49,false
149,171,2025-11-30,370.13,true
90,14,2026-03-14,353.71,false
124,38,2025-11-27,561.14,true
123,102,2026-05-17,260.65,false
174,135,2025-07-25,383.75,true
432,87,2024-08-13,362.33,true
499,16,2026-04-23,174.07,false
448,5,2025-06-15,523.69,false
276,145,2025-03-24,348.84,false
412,140,2025-08-15,151.22,false
67,82,2024-11-27,631.56,true
472,50,2024-10-30,65.77,true
254,103,2024-12-02,56.19,true
490,147,2025-07-03,374.43,false
219,154,2024-08-30,642.82,true
494,123,2025-05-11,549.72,true
464,183,2025-06-23,492.09,false
231,11,2026-03-01,149.49,false
20,142,2025-05-21,149.29,false
47,123,2025-04-28,259.92,false
196,117,2025-11-26,499.19,false
355,56,2024-08-04,213.38,true
205,145,2024-09-15,339.29,false
379,70,2025-02-26,103.02,true
76,81,2025-12-18,172.9,false
457,30,2024-08-12,497.61,true
202,91,2024-07-23,554.7,true
493,32,2025-06-12,389.58,true
304,40,2025-12-21,184.04,true
406,121,2026-06-11,483.59,true
9,30,2024-11-18,528.24,true
348,44,2026-06-07,79.85,true
360,32,2025-10-02,635.31,false
430,48,2025-01-12,636.7,true
251,155,2025-11-26,221.52,true
428,157,2026-02-19,432.38,true
154,9,2024-06-29,526.86,false
416,115,2025-10-26,81.49,false
469,96,2024-11-05,391.89,true
469,36,2026-03-01,62.22,true
271,39,2026-03-24,516.81,true
472,146,2026-04-25,426.54,false
208,112,2025-07-01,300.97,false
491,64,2025-07-19,535.83,true
90,31,2024-11-06,319.76,true
341,195,2025-03-22,271.93,false
275,2,2024-08-12,208.61,true
207,102,2024-08-16,256.03,false
69,43,2026-06-17,571.6,false
341,146,2025-08-04,410.37,true
51,156,2025-07-22,419.85,true
146,86,2026-02-05,477.66,true
79,115,2026-02-16,245.25,true
326,118,2025-04-01,113.74,false
472,99,2026-03-17,597.56,true
224,28,2026-05-28,593.84,false
364,70,2024-12-18,174.9,true
393,76,2025-04-03,343.18,false
23,18,2025-08-27,160.06,true
409,155,2025-01-23,617.12,false
178,52,2025-11-04,607.98,true
166,77,2025-10-11,98.52,true
109,108,2024-09-26,596.91,false
279,76,2025-08-23,55.88,false
293,21,2026-02-16,183.95,true
133,62,2024-09-17,184.47,false
220,100,2026-04-19,581.56,false
220,86,2025-10-07,516.35,true
419,138,2026-02-04,268.56,true
4,137,2025-03-23,85.48,false
446,155,2025-06-08,457.21,false
113,115,2025-04-16,414.19,true
165,95,2024-11-14,425.64,true
364,74,2025-02-04,624.8,true
114,173,2024-12-20,347.37,true
229,194,2025-06-24,107.37,true
314,151,2025-08-02,407.45,true
470,65,2025-08-15,80.0,false
467,141,2025-09-22,515.31,true
255,128,2025-12-08,129.26,true
201,44,2024-09-10,186.87,false
493,152,2025-03-20,367.71,false
55,111,2025-04-02,147.34,false
82,184,2024-11-06,258.42,false
364,22,2025-07-28,248.46,false
226,41,2025-02-18,140.26,false
500,132,2024-07-29,550.04,true
395,174,2024-12-07,76.05,true
86,124,2025-06-12,548.07,true
87,199,2025-02-02,113.58,false
313,176,2025-07-05,472.24,true
492,106,2024-12-03,174.75,true
327,186,2024-07-25,209.14,true
318,53,2025-01-21,343.79,true
436,34,2024-09-04,166.82,true
145,2,2025-05-20,599.82,true
9,130,2025-10-02,552.6,true
39,22,2025-07-06,331.15,true
438,129,2024-11-03,231.44,true
50,110,2025-09-18,139.17,true
315,195,2025-03-08,557.91,true
347,33,2024-12-06,187.86,false
456,64,2026-05-03,376.64,true
188,142,2024-08-28,107.7,false
340,137,2025-01-04,637.09,false
394,138,2025-07-17,537.56,true
408,153,2025-11-09,638.12,false
128,72,2025-11-19,225.91,true
443,32,2025-12-17,38.86,false
322,103,2025-05-24,464.17,true
464,129,2024-11-30,67.25,false
95,56,2024-07-04,353.29,false
56,80,2026-03-24,353.29,true
192,118,2024-10-20,464.59,true
115,117,2025-10-18,245.15,true
261,2,2025-11-30,268.89,false
117,107,2024-09-03,424.36,false
315,3,2025-09-30,157.73,true
8,158,2025-12-18,251.46,true
292,140,2025-09-17,51.7,true
295,64,2024-11-12,644.54,true
373,164,2025-03-28,444.65,false
179,24,2025-12-13,167.76,true
18,186,2025-04-03,214.33,true
374,49,2025-04-09,640.65,true
152,163,2024-09-23,255.01,true
428,22,2025-07-03,583.62,false
126,168,2025-09-09,517.43,false
99,187,2024-10-29,628.33,true
228,142,2025-06-18,75.87,true
478,140,2025-03-02,630.71,true
278,24,2024-10-22,155.2,true
295,157,2025-08-22,196.98,true
286,107,2026-01-18,574.03,true
344,31,2024-06-28,576.14,true
214,74,2026-03-13,470.24,true
359,97,2025-05-14,88.43,true
105,57,2024-12-15,559.26,false
221,180,2026-01-31,442.73,true
321,142,2024-12-02,637.68,false
383,30,2024-12-20,96.07,true
111,68,2024-08-30,554.79,false
182,66,2024-10-30,463.27,true
22,121,2026-05-17,211.55,false
59,70,2026-04-23,142.69,false
481,72,2024-08-24,251.06,false
19,3,2024-09-22,93.01,true
498,138,2026-03-07,202.35,false
497,79,2025-03-13,225.02,false
291,53,2026-04-27,101.82,true
270,24,2025-03-25,146.01,false
170,86,2026-02-18,156.03,false
7,4,2024-12-11,171.58,false
92,107,2026-05-19,73.56,true
449,33,2025-05-23,35.23,true
202,3,2024-10-24,615.14,true
25,32,2026-04-20,374.5,false
228,135,2026-05-31,87.02,true
5,143,2024-08-27,383.32,false
387,63,2026-01-13,200.24,true
23,7,2026-03-03,511.17,false
